date,counterparty_id,legal_entity,ead,pfe,collateral,credit_limit,limit_utilisation,market_volatility,fx_return,rate_change,equity_return,credit_spread_change,behaviour_state
2025-01-01,CP0001,JPM_EMEA_UK,36838450.70717838,25455269.918013707,24061206.21085081,95932735.95865563,0.3840029197442543,1.0527890707370113,-0.0033629481442716664,-0.006213999444434748,-0.0086030417406704,3.098228273108352e-05,reduce_exposure
2025-01-01,CP0002,JPM_EMEA_DE,39163100.25767309,32616319.27319348,15917228.26540704,104480058.20212659,0.3748380402115431,1.0527890707370113,0.001603155682431401,0.005632173643713914,-0.010140151533068499,0.004900640167477069,stable
2025-01-01,CP0003,JPM_EMEA_FR,30272604.94743859,11123584.859993033,16152630.098825768,30977761.748185582,0.9772366768626112,1.0527890707370113,-0.01044339939925177,-0.0018991718317107234,0.012576133552233554,-0.007549698852319958,increase_exposure
2025-01-01,CP0004,JPM_EMEA_CH,26790113.74223069,11200691.117072415,9564688.411656559,74054962.28217925,0.3617598728921036,1.0527890707370113,-0.0006824418160465164,0.0010159506889357544,-0.012114932106647288,-0.008989022084155408,stable
2025-01-01,CP0005,JPM_EMEA_UK,52038231.24203484,31573409.08974598,13291483.184892597,25409842.60204602,2.047955670447352,1.0527890707370113,0.012240415979496011,0.0033829722657740904,-0.016437454182623698,-0.001164988022198767,increase_exposure
2025-01-01,CP0006,JPM_EMEA_DE,53041890.05859534,26239014.591433357,8880908.519247955,84218806.50178745,0.629810516935663,1.0527890707370113,-0.01639550150014102,-0.0024660760878375083,0.00083192674855819,-0.014258990187428282,increase_exposure
2025-01-01,CP0007,JPM_EMEA_FR,48645701.92725023,38670766.50592019,13603127.506924463,62881957.60326209,0.7736034910708102,1.0527890707370113,-0.005666110775205849,-0.0011453038209330653,-0.0015584844488924126,0.014196211687327563,increase_exposure
2025-01-01,CP0008,JPM_EMEA_CH,45116682.96272214,38059481.13168007,26717578.152980357,38788144.55258609,1.163156512979276,1.0527890707370113,-0.0026681650090796677,0.0005048411128977393,0.011908613869713399,0.01729893314412446,increase_exposure
2025-01-01,CP0009,JPM_EMEA_UK,68804478.89236401,51385372.61910791,42629878.38257226,33442385.803931713,2.057403418995151,1.0527890707370113,0.004256286989235893,-0.004363146128091045,-0.02265473794571996,0.001441081595996221,increase_exposure
2025-01-01,CP0010,JPM_EMEA_DE,21834293.074595403,15183504.03024712,5482989.134132716,96393794.38310257,0.22651139748496987,1.0527890707370113,0.002187513324192646,0.005122484817599822,0.0001529214996774689,-0.005388825134025422,reduce_exposure
2025-01-01,CP0011,JPM_EMEA_FR,17864714.964612167,14464102.966021502,5175040.281059708,42177085.909795195,0.4235644682238056,1.0527890707370113,-0.005496869137597638,0.004664367058158683,-0.014289647320098603,-0.006848812541923082,stable
2025-01-01,CP0012,JPM_EMEA_CH,33819286.07489757,26156995.300630867,5716672.49477584,140265615.38898364,0.24110888460518398,1.0527890707370113,0.004639138304908249,0.00420388010233657,0.006027844444544749,-0.0011537363153501445,stable
2025-01-01,CP0013,JPM_EMEA_UK,32715687.488640383,12923297.114437249,20979241.322678927,95537948.16105135,0.34243657225598473,1.0527890707370113,0.00047227235016846555,0.002038733152785446,0.0016626702965516589,0.003085951676098503,reduce_exposure
2025-01-01,CP0014,JPM_EMEA_DE,27937458.05246939,16065033.331764936,13579639.139286213,65093074.58952882,0.42919247905619046,1.0527890707370113,0.004391977317841035,-0.001943362727871099,0.012988152525312463,0.008837408449898644,stable
2025-01-01,CP0015,JPM_EMEA_FR,36821191.20551486,14718705.420243226,23720078.661796063,96819013.89258417,0.3803095045603968,1.0527890707370113,0.008816918893199776,-0.002904923358230658,0.004859685691170705,-0.00932460324287454,reduce_exposure
2025-01-01,CP0016,JPM_EMEA_CH,37099589.47042438,15379872.740142094,9795208.65074853,22964503.233860675,1.6155189203362263,1.0527890707370113,-0.006707499404270815,0.01229340135071063,-0.016585041134545855,0.002329491681403389,increase_exposure
2025-01-01,CP0017,JPM_EMEA_UK,40752521.09843199,28150140.246341165,7540748.070235865,144612697.7213879,0.2818045838336144,1.0527890707370113,0.002417704872475942,-0.0022577929413403345,0.02247768319533455,-0.006351075375310171,stable
2025-01-01,CP0018,JPM_EMEA_DE,34987248.9833218,19702322.124642134,23543288.793557987,82699446.80257703,0.4230650909533236,1.0527890707370113,-0.014010865789974365,0.0026882667447388382,-0.008073818490514141,-0.00797150142603225,stable
